	client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
0	673764e8892d6d0613f4950192a9920ea9844b59d59207454f630e1a80bf7e4b46b02bdf917704dd046266f78ff3342c4c62a93e0a091b2cfdc59a851ce2d3b5	common_voice_ru_22485647.mp3	ноль.	2	0				ru	Singleword Benchmark
1	c32636735fe9b4305b7c2c1d42961c6ff9db893672886e7136dced3f78f03008949fef3aba7a294b6042278c594b7d12292faf040528e29e8d9a1ad7b0f020ab	common_voice_ru_22159794.mp3	эй.	2	0	teens	male		ru	Singleword Benchmark
2	d640393cf6111a6fdad53190da7961ccabf6fef99084dc6615dab55125b1520c6258f780b735140fd703ade2cdf30d5470b2fbf810241a51e06c9259e71602ac	common_voice_ru_21670602.mp3	да.	2	0	thirties	male		ru	Singleword Benchmark
3	db602929cf83e32b3bb6d33ddf2fe517c09b7265de4d12b3c14f64e1b930033043e7ed553afc572552190fd164abbedff419547e8da2a28985a77723e2d93e33	common_voice_ru_21781606.mp3	два.	2	0	twenties	male		ru	Singleword Benchmark
4	e35268d5e074528d224b3d2f36f6f0e970f9106ec177f455866a16d554118e7f629970972fe00bbfeb4adfba6e3620ca1a68af85221f9c5270009d5f6ed1ead3	common_voice_ru_22289561.mp3	шесть.	2	0				ru	Singleword Benchmark
5	e432518f957fb1037df970b83c6d9be05f01e6f44a6f7906bc3069e0ce670ae94af4368e32a9866ba57dd6154c848d892eb48c84727922d8d4f504c0a69de639	common_voice_ru_21892477.mp3	шесть.	2	1	twenties	male		ru	Singleword Benchmark
6	f74762bf051035e39c94e579c4105e3d5290ee7e27e1876e2d94a3724a7753eb1c8bdb33bab3e33f8fbe8e74cc4bea8256040f8b8c6cc611a4ebf65a479711ed	common_voice_ru_21715097.mp3	пять.	2	0	twenties	female		ru	Singleword Benchmark
7	9e9729d6a1aaf37b902e7fa18e8f58f424b786aeac24a0aa3429bf52cda0f78b64af0f3d0954d04073e880afb1962f1b46957078d2cf930251775bedd59a02e8	common_voice_ru_22279652.mp3	восемь.	2	0				ru	Singleword Benchmark
8	9e9729d6a1aaf37b902e7fa18e8f58f424b786aeac24a0aa3429bf52cda0f78b64af0f3d0954d04073e880afb1962f1b46957078d2cf930251775bedd59a02e8	common_voice_ru_22279655.mp3	шесть.	2	0				ru	Singleword Benchmark
9	9e9729d6a1aaf37b902e7fa18e8f58f424b786aeac24a0aa3429bf52cda0f78b64af0f3d0954d04073e880afb1962f1b46957078d2cf930251775bedd59a02e8	common_voice_ru_22279657.mp3	firefox.	2	0				ru	Singleword Benchmark
